candidato,ubicacion,votos_actuales,votos_proyectados,actas_contabilizadas,participacion
PARTIDO POLÍTICO PERÚ ACCIÓN,060000,1052,920,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,060000,910,796,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,060000,1008,882,93.662,58.366
FUERZA Y LIBERTAD,060000,537,469,93.662,58.366
SALVEMOS AL PERÚ,060000,1205,1054,93.662,58.366
FE EN EL PERÚ,060000,858,750,93.662,58.366
LIBERTAD POPULAR,060000,2315,2025,93.662,58.366
PARTIDO POLÍTICO PRIN,060000,414,362,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,060000,464,406,93.662,58.366
PERÚ MODERNO,060000,384,336,93.662,58.366
JUNTOS POR EL PERÚ,070000,150690,131868,93.662,58.366
FUERZA POPULAR,070000,40615,35542,93.662,58.366
PARTIDO CÍVICO OBRAS,070000,104432,91388,93.662,58.366
AHORA NACIÓN - AN,070000,98241,85970,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,070000,59606,52161,93.662,58.366
RENOVACIÓN POPULAR,070000,31722,27759,93.662,58.366
PARTIDO PAÍS PARA TODOS,070000,19345,16928,93.662,58.366
ALIANZA PARA EL PROGRESO,070000,3588,3139,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,070000,4040,3535,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",070000,20084,17575,93.662,58.366
PODEMOS PERÚ,070000,8212,7186,93.662,58.366
PARTIDO SICREO,070000,19443,17014,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,070000,12889,11279,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,070000,9031,7903,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,070000,16450,14395,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,070000,6084,5324,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,070000,20358,17815,93.662,58.366
PARTIDO APRISTA PERUANO,070000,4881,4271,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,070000,4941,4323,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,070000,5234,4580,93.662,58.366
UN CAMINO DIFERENTE,070000,993,868,93.662,58.366
PARTIDO DEMÓCRATA VERDE,070000,3174,2777,93.662,58.366
PARTIDO MORADO,070000,3312,2898,93.662,58.366
UNIDAD NACIONAL,070000,1159,1014,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,070000,1428,1249,93.662,58.366
PROGRESEMOS,070000,3932,3440,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,070000,1546,1352,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,070000,699,611,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,070000,1074,939,93.662,58.366
FUERZA Y LIBERTAD,070000,1003,877,93.662,58.366
SALVEMOS AL PERÚ,070000,1254,1097,93.662,58.366
FE EN EL PERÚ,070000,1196,1046,93.662,58.366
LIBERTAD POPULAR,070000,1923,1682,93.662,58.366
PARTIDO POLÍTICO PRIN,070000,1554,1359,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,070000,489,427,93.662,58.366
PERÚ MODERNO,070000,350,306,93.662,58.366
JUNTOS POR EL PERÚ,080000,71456,62531,93.662,58.366
FUERZA POPULAR,080000,11629,10176,93.662,58.366
PARTIDO CÍVICO OBRAS,080000,22314,19526,93.662,58.366
AHORA NACIÓN - AN,080000,15254,13348,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,080000,5345,4677,93.662,58.366
RENOVACIÓN POPULAR,080000,3866,3383,93.662,58.366
PARTIDO PAÍS PARA TODOS,080000,2827,2473,93.662,58.366
ALIANZA PARA EL PROGRESO,080000,1300,1137,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,080000,391,342,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",080000,1728,1512,93.662,58.366
PODEMOS PERÚ,080000,5553,4859,93.662,58.366
