candidato,ubicacion,votos_actuales,votos_proyectados,actas_contabilizadas,participacion
SALVEMOS AL PERÚ,210000,565,494,93.662,58.366
FE EN EL PERÚ,210000,690,603,93.662,58.366
LIBERTAD POPULAR,210000,633,553,93.662,58.366
PARTIDO POLÍTICO PRIN,210000,821,718,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,210000,300,262,93.662,58.366
PERÚ MODERNO,210000,179,156,93.662,58.366
JUNTOS POR EL PERÚ,220000,24961,21843,93.662,58.366
FUERZA POPULAR,220000,14417,12616,93.662,58.366
PARTIDO CÍVICO OBRAS,220000,30616,26792,93.662,58.366
AHORA NACIÓN - AN,220000,20907,18295,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,220000,24099,21088,93.662,58.366
RENOVACIÓN POPULAR,220000,13051,11420,93.662,58.366
PARTIDO PAÍS PARA TODOS,220000,15357,13438,93.662,58.366
ALIANZA PARA EL PROGRESO,220000,1260,1102,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,220000,845,739,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",220000,13931,12190,93.662,58.366
PODEMOS PERÚ,220000,2624,2296,93.662,58.366
PARTIDO SICREO,220000,10201,8926,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,220000,1290,1128,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,220000,1719,1504,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,220000,9180,8033,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,220000,1629,1425,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,220000,10835,9481,93.662,58.366
PARTIDO APRISTA PERUANO,220000,953,833,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,220000,2535,2218,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,220000,2210,1933,93.662,58.366
UN CAMINO DIFERENTE,220000,482,421,93.662,58.366
PARTIDO DEMÓCRATA VERDE,220000,764,668,93.662,58.366
PARTIDO MORADO,220000,1193,1043,93.662,58.366
UNIDAD NACIONAL,220000,723,632,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,220000,666,582,93.662,58.366
PROGRESEMOS,220000,1033,903,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,220000,458,400,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,220000,518,453,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,220000,263,230,93.662,58.366
FUERZA Y LIBERTAD,220000,300,262,93.662,58.366
SALVEMOS AL PERÚ,220000,137,119,93.662,58.366
FE EN EL PERÚ,220000,180,157,93.662,58.366
LIBERTAD POPULAR,220000,319,279,93.662,58.366
PARTIDO POLÍTICO PRIN,220000,83,72,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,220000,122,106,93.662,58.366
PERÚ MODERNO,220000,82,71,93.662,58.366
JUNTOS POR EL PERÚ,230000,6916,6052,93.662,58.366
FUERZA POPULAR,230000,34177,29908,93.662,58.366
PARTIDO CÍVICO OBRAS,230000,4916,4301,93.662,58.366
AHORA NACIÓN - AN,230000,4990,4366,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,230000,5596,4897,93.662,58.366
RENOVACIÓN POPULAR,230000,5956,5212,93.662,58.366
PARTIDO PAÍS PARA TODOS,230000,14964,13094,93.662,58.366
ALIANZA PARA EL PROGRESO,230000,2090,1828,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,230000,1612,1410,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",230000,2810,2459,93.662,58.366
PODEMOS PERÚ,230000,4273,3739,93.662,58.366
PARTIDO SICREO,230000,2174,1902,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,230000,704,616,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,230000,844,738,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,230000,577,504,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,230000,626,547,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,230000,1047,916,93.662,58.366
PARTIDO APRISTA PERUANO,230000,986,862,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,230000,912,798,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,230000,202,176,93.662,58.366
UN CAMINO DIFERENTE,230000,360,315,93.662,58.366
PARTIDO DEMÓCRATA VERDE,230000,366,320,93.662,58.366
PARTIDO MORADO,230000,361,315,93.662,58.366
UNIDAD NACIONAL,230000,428,374,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,230000,651,569,93.662,58.366
PROGRESEMOS,230000,144,126,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,230000,163,142,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,230000,100,87,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,230000,86,75,93.662,58.366
FUERZA Y LIBERTAD,230000,140,122,93.662,58.366
SALVEMOS AL PERÚ,230000,98,85,93.662,58.366
FE EN EL PERÚ,230000,819,716,93.662,58.366
LIBERTAD POPULAR,230000,370,323,93.662,58.366
PARTIDO POLÍTICO PRIN,230000,55,48,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,230000,80,70,93.662,58.366
PERÚ MODERNO,230000,47,41,93.662,58.366
JUNTOS POR EL PERÚ,240000,16603,14529,93.662,58.366
FUERZA POPULAR,240000,114185,99923,93.662,58.366
PARTIDO CÍVICO OBRAS,240000,45028,39403,93.662,58.366
AHORA NACIÓN - AN,240000,32839,28737,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,240000,83010,72641,93.662,58.366
RENOVACIÓN POPULAR,240000,82814,72470,93.662,58.366
PARTIDO PAÍS PARA TODOS,240000,66902,58545,93.662,58.366
ALIANZA PARA EL PROGRESO,240000,3316,2901,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,240000,4127,3611,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",240000,25497,22312,93.662,58.366
PODEMOS PERÚ,240000,4749,4155,93.662,58.366
PARTIDO SICREO,240000,22332,19542,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,240000,1950,1706,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,240000,4282,3747,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,240000,2995,2620,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,240000,1389,1215,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,240000,7343,6425,93.662,58.366
PARTIDO APRISTA PERUANO,240000,5706,4993,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,240000,2757,2412,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,240000,2346,2052,93.662,58.366
UN CAMINO DIFERENTE,240000,1187,1038,93.662,58.366
PARTIDO DEMÓCRATA VERDE,240000,1644,1438,93.662,58.366
PARTIDO MORADO,240000,3130,2739,93.662,58.366
UNIDAD NACIONAL,240000,4178,3656,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,240000,2939,2571,93.662,58.366
PROGRESEMOS,240000,1926,1685,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,240000,991,867,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,240000,1675,1465,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,240000,392,343,93.662,58.366
FUERZA Y LIBERTAD,240000,743,650,93.662,58.366
SALVEMOS AL PERÚ,240000,339,296,93.662,58.366
FE EN EL PERÚ,240000,511,447,93.662,58.366
LIBERTAD POPULAR,240000,1493,1306,93.662,58.366
PARTIDO POLÍTICO PRIN,240000,409,357,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,240000,454,397,93.662,58.366
PERÚ MODERNO,240000,263,230,93.662,58.366
JUNTOS POR EL PERÚ,250000,25730,22516,93.662,58.366
FUERZA POPULAR,250000,58869,51516,93.662,58.366
PARTIDO CÍVICO OBRAS,250000,16975,14854,93.662,58.366
AHORA NACIÓN - AN,250000,7949,6956,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,250000,8791,7692,93.662,58.366
RENOVACIÓN POPULAR,250000,11332,9916,93.662,58.366
PARTIDO PAÍS PARA TODOS,250000,20825,18223,93.662,58.366
ALIANZA PARA EL PROGRESO,250000,2180,1907,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,250000,3983,3485,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",250000,4544,3976,93.662,58.366
PODEMOS PERÚ,250000,6894,6032,93.662,58.366
PARTIDO SICREO,250000,4744,4151,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,250000,1480,1295,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,250000,2745,2402,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,250000,1604,1403,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,250000,1779,1556,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,250000,2948,2579,93.662,58.366
PARTIDO APRISTA PERUANO,250000,1370,1198,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,250000,3539,3096,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,250000,2334,2042,93.662,58.366
UN CAMINO DIFERENTE,250000,465,406,93.662,58.366
PARTIDO DEMÓCRATA VERDE,250000,991,867,93.662,58.366
PARTIDO MORADO,250000,780,682,93.662,58.366
UNIDAD NACIONAL,250000,523,457,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,250000,870,761,93.662,58.366
PROGRESEMOS,250000,1676,1466,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,250000,635,555,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,250000,445,389,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,250000,236,206,93.662,58.366
FUERZA Y LIBERTAD,250000,444,388,93.662,58.366
SALVEMOS AL PERÚ,250000,292,255,93.662,58.366
FE EN EL PERÚ,250000,423,370,93.662,58.366
LIBERTAD POPULAR,250000,407,356,93.662,58.366
PARTIDO POLÍTICO PRIN,250000,207,181,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,250000,175,153,93.662,58.366
PERÚ MODERNO,250000,159,139,93.662,58.366
